name,category,year,address,lon,lat
Peggs,Restaurant,2018,"127 S Michigan St, South Bend, In 46601",-86.2506844,41.6754615
Ben's Soft Pretzel @  The S.b.,Restaurant,2018,"122 S Michigan St, South Bend, In 46601",-86.2498652,41.67557600000001
Madis Market,Open Air Vendors (Public/Private),2018,"209 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6745533
Spirited Llc,Restaurant,2018,"105 107 W Jefferson Blvd, South Bend, In 46601",-86.25068,41.6751781
Jimmy John's,Restaurant,2018,"138 S Michigan St, South Bend, In 46601",-86.2499716,41.6752818
Baker & Rose,Restaurant,2018,"121 S Niles Ave, South Bend, In 46601",-86.2445084,41.6754404
L Street Kitchen,Restaurant,2018,"131 S Lafayette Blvd, South Bend, In 46601",-86.2537272,41.6752853
Fishers Bbq,Restaurant,2018,"209 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6745533
The Hideaway At The Lasalle,Restaurant,2018,"237 N Michigan St, South Bend, In 46601",-86.25089679999999,41.6788757
South Blend Cafe,Restaurant,2018,"237 N Michigan St, South Bend, In 46601",-86.25089679999999,41.6788757
Long John Silver's ,Restaurant,2018,"4949 W Western Ave, South Bend, In 46601",-86.3175902,41.6724723
Southhold Llc,Hotel/Motel,2018,"121 S Dr Martin Luther King Jr Blvd, South Bend, In 46601",-86.2490716,41.6753169
Southhold Llc,Restaurant,2018,"121 S Dr Martin Luther King Jr Blvd, South Bend, In 46601",-86.2490716,41.6753169
Madis Market,Restaurant,2018,"209 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6745533
Render Kitchen & Bar,Restaurant,2018,"521 E Jefferson Blvd, South Bend, In 46601",-86.2433576,41.6752862
Vegetable Buddies Inc.,Restaurant,2018,"129 N Michigan St, South Bend, In 46601",-86.2508175,41.6773956
Navarre Catering - Dba Palais,Restaurant,2018,"105 W Colfax Ave, South Bend, In 46601",-86.2509051,41.6781414
Army & Navy Union ,Restaurant,2018,"1121 W Western Ave, South Bend, In 46601",-86.2671024,41.67242239999999
Tapastrie Llc,Restaurant,2018,"103 W Colfax Ave, South Bend, In 46601",-86.25070149999999,41.6778415
Julio's Pizza,Restaurant,2018,"2509 S Michigan St, South Bend, In 46601",-86.2499644,41.6484517
Tippecanoe Place Restaurant,Restaurant,2018,"620 W Washington St, South Bend, In 46601",-86.2578399,41.6757187
Ladonna Smith-Lyons,Peddler & Canvasser,2018,"520 Fellows St, South Bend, In 46601",-86.2444513,41.6701238
South Bend Massage & Healing,Massage,2018,"115 N William St, South Bend, In 46601",-86.2563522,41.6769341
Witches Brew,Restaurant,2018,"1320 Miami St, South Bend, In 46601",-86.23485319999999,41.6605344
Mejorando Tu Figura,Restaurant,2018,"1110 W Western Ave, South Bend, In 46601",-86.2664281,41.67189500000001
Hope Ministries,Restaurant,2018,"432 S Lafayette Blvd, South Bend, In 46601",-86.25288060000001,41.6712413
Fifth Third Bank,Alarm Agent,2018,"301 N Main St, South Bend, In 46601",-86.2526029,41.6792811
Pauls Auto Yard,Scrap Metal /Junk Dealers,2018,"3300 S Main St, South Bend, In 46601",-86.25143899999999,41.640639
Crooked Ewe Brewery & Ale Hous,Restaurant,2018,"1047 Lincoln Way E, South Bend, In 46601",-86.235976,41.66439039999999
Hamilton's Towing,Vehicle Removal,2018,"4707 W Western Ave, South Bend, In 46601",-86.3136676,41.6726976
Mc Donald's,Restaurant,2018,"5021 W Western Ave, South Bend, In 46601",-86.3185412,41.6725805
Mc Donald's,Restaurant,2018,"416 N Michigan St, South Bend, In 46601",-86.2500239,41.68094680000001
Studebaker National Museum Inc,Restaurant,2018,"201 Chapin St, South Bend, In 46601",-86.2619656,41.67476389999999
Boys & Girls Club Of St Joseph,Restaurant,2018,"502 E Sample St, South Bend, In 46601",-86.2433973,41.6645159
Burger King ,Restaurant,2018,"121 W Lasalle Ave, South Bend, In 46601",-86.251611,41.6794432
Chicory Cafe,Restaurant,2018,"105 E Jefferson Blvd, South Bend, In 46601",-86.2498234,41.6751684
Memorial Hospital - Centennial,Public Parking Facility,2018,"621 Memorial Dr, South Bend, In 46601",-86.2532148,41.6837976
Memorial Hospital - Navarre,Public Parking Facility,2018,"100 W Navarre St, South Bend, In 46601",-86.2510716,41.682686
Kroc Corp. Community Center,Restaurant,2018,"900 W Western Ave, South Bend, In 46601",-86.2622829,41.6716634
Cafe Navarre,Restaurant,2018,"101 N Michigan St, South Bend, In 46601",-86.25069839999999,41.6765752
South Bend Christ Temple Cogic,Restaurant,2018,"1212 S Michigan St, South Bend, In 46601",-86.2496997,41.66181419999999
4tron Enterprise Inc.,Second Hand Dealers,2018,"301 S Lafayette Blvd, South Bend, In 46601",-86.2539122,41.6734525
Woochi Japanese Fusion & Bar,Restaurant,2018,"123 W Washington St, South Bend, In 46601",-86.25135519999999,41.67665849999999
"Smg F&B, Llc  (Dba Savor) @ Ce",Restaurant,2018,"120 S Saint Joseph St, South Bend, In 46601",-86.24801409999999,41.675853
David E Martin,Tattoo And Piercing,2018,"110 N William St, South Bend, In 46601",-86.2557769,41.6768959
Cambodian Thai Restaurant,Restaurant,2018,"235 S Michigan St, South Bend, In 46601",-86.25078669999999,41.673836
Edible Arrangements,Restaurant,2018,"123 S Michigan St, South Bend, In 46601",-86.2505549,41.6755317
Miami Stop And Go,Restaurant,2018,"1914 Miami St, South Bend, In 46601",-86.2347357,41.6539943
Madison Oyster Bar,Restaurant,2018,"129 N Main St, South Bend, In 46601",-86.25234499999999,41.677387
Miami Auto Glass,Automotive Repair & Svc,2018,"918 S Michigan St, South Bend, In 46601",-86.24956759999999,41.6645808
Idle Hours Bookshop,Second Hand Dealers,2018,"212 S Michigan St, South Bend, In 46601",-86.2501302,41.6746236
Muffler Man,Automotive Repair & Svc,2018,"2302 S Michigan St, South Bend, In 46601",-86.24921049999999,41.65029450000001
Bruno's Pizza Dtsb,Restaurant,2018,"131 S Michigan St, South Bend, In 46601",-86.2505784,41.6751531
Leeper Park Tennis Center,Restaurant,2018,"837 N Lafayette Blvd, South Bend, In 46601",-86.25474539999999,41.686271
One Stop ,Restaurant,2018,"209 W Sample St, South Bend, In 46601",-86.25235099999999,41.665737
Episcopal Cathedral Of St Jame,Public Parking Facility,2018,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
Bicycle Tattooing Llc,Tattoo And Piercing,2018,"117 N Main St, South Bend, In 46601",-86.25235839999999,41.6769892
Leeds West Indiana,Automotive Repair & Svc,2018,"525 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6700426
Avanti Museum Group Llc,Hotel/Motel,2018,"818 Thomas St, South Bend, In 46601",-86.2624813,41.6741196
The Exchange,Restaurant,2018,"112 W Jefferson Blvd, South Bend, In 46601",-86.25105549999999,41.6746816
Cj's Pub,Restaurant,2018,"236 S Michigan St, South Bend, In 46601",-86.24994459999999,41.6738677
R.k. City Food Mart,Restaurant,2018,"301 N Lafayette Blvd, South Bend, In 46601",-86.2539884,41.679270699999996
First Presbyterian Church,Restaurant,2018,"333 W Colfax Ave, South Bend, In 46601",-86.2554595,41.6779743
Rozell Royal Ribs,Restaurant,2018,"313 Chapin St, South Bend, In 46601",-86.26158869999999,41.6728658
The Blarney Stone,Restaurant,2018,"113 E Wayne St, South Bend, In 46601",-86.2496271,41.6739352
South Bend Chocolate Co.,Restaurant,2018,"122 S Michigan St, South Bend, In 46601",-86.2498652,41.67557600000001
Cinco 5,Restaurant,2018,"112 W Colfax Ave, South Bend, In 46601",-86.25105549999999,41.6775589
Saint Margaret's House,Restaurant,2018,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
The Salvation Army,Donation Boxes And Containers,2018,"510 S Main St, South Bend, In 46601",-86.25137269999999,41.6704146
Flamingo Inc.,Restaurant,2018,"425 S Main St, South Bend, In 46601",-86.252521,41.6714773
Y.w.c.a. Of St Joseph Co,Restaurant,2018,"1102 Fellows St, South Bend, In 46601",-86.24311949999999,41.6634568
Saint Patrick Catholic Church,Restaurant,2018,"308 S Scott St, South Bend, In 46601",-86.2584746,41.6732508
Saint Hedwig Memorial Center,Restaurant,2018,"331 S Scott St, South Bend, In 46601",-86.25920169999999,41.6728667
East Bank Emporium,Restaurant,2018,"121 S Niles Ave, South Bend, In 46601",-86.2445084,41.6754404
South Bend Scottish Rite,Restaurant,2018,"427 N Main St, South Bend, In 46601",-86.2526029,41.6813029
Mark Temple Tree Service,Arborist/Tree Service,2018,"202 S Olive St, South Bend, In 46601",-86.2829836,41.6751925
Madison Primary School,Restaurant,2017,"832 N Lafayette Blvd, South Bend, In 46601",-86.2528036,41.6858942
Lasalle Intermediate Academy,Restaurant,2017,"2701 Elwood Ave, South Bend, In 46601",-86.2874265,41.69479250000001
Arby's Roast Beef ,Restaurant,2017,"209 W Sample St, South Bend, In 46601",-86.25235099999999,41.665737
Saint Joseph County Juvenile J,Restaurant,2017,"1000 S Michigan St, South Bend, In 46601",-86.2478416,41.6638829
Vickie's,Restaurant,2017,"112 W Monroe St, South Bend, In 46601",-86.25097799999999,41.6707903
"Red's Worldwide, Llc",Precious Metal Dealers,2018,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
"Red's Worldwide, Llc",Second Hand Dealers,2018,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
Hedman Ptl Tire,Automotive Repair & Svc,2018,"135 N Lafayette Blvd, South Bend, In 46601",-86.2540203,41.6774212
Firestone Complete Auto Care,Automotive Repair & Svc,2018,"4921 W Western Ave, South Bend, In 46601",-86.31719389999999,41.6723819
Professional Sports Catering,Restaurant,2018,"501 W South St, South Bend, In 46601",-86.2558959,41.6698617
Dew Drop Inn,Restaurant,2018,"822 S Lafayette Blvd, South Bend, In 46601",-86.2530393,41.6652577
"Mc Investments, Llc",Public Parking Facility,2018,"117 S William St, South Bend, In 46601",-86.2564009,41.6755304
"Mc Investments, Llc",Public Parking Facility,2018,"123 N Main St, South Bend, In 46601",-86.25235479999999,41.6771629
Episcopal Cathedral Of St Jame,Restaurant,2018,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
"Subway Of South Bend V, Inc",Restaurant,2017,"113 W Washington St, South Bend, In 46601",-86.2510716,41.6764964
Lasalle Grill,Restaurant,2017,"115 W Colfax Ave, South Bend, In 46601",-86.2513338,41.6778473
Leeper Park Tennis Center,Restaurant,2015,"837 N Lafayette Blvd, South Bend, In 46601",-86.25474539999999,41.686271
One Stop ,Restaurant,2015,"209 W Sample St, South Bend, In 46601",-86.25235099999999,41.665737
Episcopal Cathedral Of St Jame,Public Parking Facility,2015,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
Bicycle Tattooing Llc,Tattoo And Piercing,2015,"117 N Main St, South Bend, In 46601",-86.25235839999999,41.6769892
Leeds West Indiana,Automotive Repair & Svc,2015,"525 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6700426
North Systems Technology,Second Hand Dealers,2015,"321 S Main St, South Bend, In 46601",-86.25242229999999,41.6728722
4tron Enterprise Inc.,Second Hand Dealers,2015,"301 S Lafayette Blvd, South Bend, In 46601",-86.2539122,41.6734525
Woochi Japanese Fusion & Bar,Restaurant,2015,"123 W Washington St, South Bend, In 46601",-86.25135519999999,41.67665849999999
"Smg F&B, Llc  (Dba Savor) @ Ce",Restaurant,2015,"120 S Saint Joseph St, South Bend, In 46601",-86.24801409999999,41.675853
David E Martin,Tattoo And Piercing,2015,"110 N William St, South Bend, In 46601",-86.2557769,41.6768959
Cambodian Thai Restaurant,Restaurant,2015,"235 S Michigan St, South Bend, In 46601",-86.25078669999999,41.673836
Hamilton's Towing,Vehicle Removal,2015,"4707 W Western Ave, South Bend, In 46601",-86.3136676,41.6726976
Mc Donald's,Restaurant,2015,"5021 W Western Ave, South Bend, In 46601",-86.3185412,41.6725805
Mc Donald's,Restaurant,2015,"416 N Michigan St, South Bend, In 46601",-86.2500239,41.68094680000001
Studebaker National Museum Inc,Restaurant,2015,"201 Chapin St, South Bend, In 46601",-86.2619656,41.67476389999999
Boys & Girls Club Of St Joseph,Restaurant,2015,"502 E Sample St, South Bend, In 46601",-86.2433973,41.6645159
Burger King ,Restaurant,2015,"121 W Lasalle Ave, South Bend, In 46601",-86.251611,41.6794432
South Bend Chocolate Co.,Restaurant,2015,"122 S Michigan St, South Bend, In 46601",-86.2498652,41.67557600000001
The Vibrance Center,Massage,2015,"328 N Michigan St, South Bend, In 46601",-86.24981079999999,41.6799877
Cinco 5,Restaurant,2015,"112 W Colfax Ave, South Bend, In 46601",-86.25105549999999,41.6775589
Edible Arrangements,Restaurant,2015,"123 S Michigan St, South Bend, In 46601",-86.2505549,41.6755317
Yummy Cupcakes,Restaurant,2015,"119 S Michigan St, South Bend, In 46601",-86.2505668,41.6756365
Miami Stop And Go,Restaurant,2015,"1914 Miami St, South Bend, In 46601",-86.2347357,41.6539943
Madison Oyster Bar,Restaurant,2015,"129 N Main St, South Bend, In 46601",-86.25234499999999,41.677387
Miami Auto Glass,Automotive Repair & Svc,2015,"918 S Michigan St, South Bend, In 46601",-86.24956759999999,41.6645808
Idle Hours Bookshop,Second Hand Dealers,2015,"212 S Michigan St, South Bend, In 46601",-86.2501302,41.6746236
Ciao's Lounge,Restaurant,2015,"119 N Michigan St, South Bend, In 46601",-86.25074459999999,41.6771509
Chicory Cafe,Restaurant,2015,"105 E Jefferson Blvd, South Bend, In 46601",-86.2498234,41.6751684
Avanti Museum Group Llc,Hotel/Motel,2015,"818 Thomas St, South Bend, In 46601",-86.2624813,41.6741196
The Exchange,Restaurant,2015,"112 W Jefferson Blvd, South Bend, In 46601",-86.25105549999999,41.6746816
